ÉtÉ@ÉCÉã,ê≥â,pred
subject2_file_457,0,0
subject2_file_679,0,0
subject2_file_95,0,0
subject2_file_899,0,0
subject2_file_368,0,1
subject2_file_425,0,1
subject2_file_646,0,2
subject2_file_52,0,0
subject2_file_123,0,1
subject2_file_821,0,0
subject2_file_641,0,1
subject2_file_101,0,1
subject2_file_880,0,0
subject2_file_743,0,1
subject2_file_485,0,0
subject2_file_92,0,1
subject2_file_25,0,0
subject2_file_180,0,1
subject2_file_586,0,2
subject2_file_453,0,0
subject2_file_308,0,2
subject2_file_263,0,2
subject2_file_847,0,1
subject2_file_723,0,0
subject2_file_565,0,1
subject2_file_37,0,1
subject2_file_325,0,1
subject2_file_792,0,1
subject2_file_872,0,0
subject2_file_831,0,0
subject2_file_1,0,1
subject2_file_257,0,0
subject2_file_540,0,2
subject2_file_635,0,2
subject2_file_803,0,1
subject2_file_172,0,0
subject2_file_581,0,1
subject2_file_674,0,2
subject2_file_138,1,1
subject2_file_770,1,1
subject2_file_4,1,1
subject2_file_464,1,0
subject2_file_409,1,2
subject2_file_218,1,1
subject2_file_749,1,1
subject2_file_452,1,0
subject2_file_517,1,1
subject2_file_709,1,1
subject2_file_650,1,0
subject2_file_96,1,1
subject2_file_500,1,1
subject2_file_832,1,0
subject2_file_980,1,0
subject2_file_923,1,1
subject2_file_314,1,1
subject2_file_731,1,1
subject2_file_592,1,2
subject2_file_129,1,1
subject2_file_549,1,1
subject2_file_17,1,1
subject2_file_49,1,2
subject2_file_402,1,0
subject2_file_526,1,0
subject2_file_942,1,1
subject2_file_724,1,0
subject2_file_74,1,1
subject2_file_248,1,0
subject2_file_344,1,0
subject2_file_588,1,2
subject2_file_295,1,1
subject2_file_658,1,0
subject2_file_358,1,0
subject2_file_746,1,2
subject2_file_541,1,1
subject2_file_202,1,1
subject2_file_171,1,0
subject2_file_840,1,1
subject2_file_436,1,0
subject2_file_85,1,0
subject2_file_681,1,1
subject2_file_495,1,0
subject2_file_341,1,2
subject2_file_522,2,0
subject2_file_324,2,2
subject2_file_157,2,0
subject2_file_775,2,2
subject2_file_336,2,0
subject2_file_838,2,0
subject2_file_911,2,0
subject2_file_175,2,1
subject2_file_114,2,0
subject2_file_926,2,0
subject2_file_473,2,1
subject2_file_917,2,1
subject2_file_763,2,1
subject2_file_624,2,0
subject2_file_952,2,1
subject2_file_328,2,0
subject2_file_204,2,1
subject2_file_89,2,2
subject2_file_616,2,0
subject2_file_642,2,2
subject2_file_721,2,1
subject2_file_199,2,1
subject2_file_378,2,0
